n_components,reconstruction_error,method
1,508350511.5168308,ICA
2,61381024.76064994,ICA
3,54236109.6980994,ICA
4,52955443.727920115,ICA
5,46630690.997889005,ICA
6,3742379.236686798,ICA
7,854032.5778740555,ICA
8,463614.75248285953,ICA
9,446701.5349736425,ICA
10,78105.1441947596,ICA
11,11244.418051081246,ICA
12,9064.935857530456,ICA
13,7314.452993123552,ICA
14,249.24674477173582,ICA
15,176.6726338601151,ICA
16,1.2019870765541055e-17,ICA
1,508350511.51683116,PCA
2,61381024.76064993,PCA
3,54236109.6980994,PCA
4,52955443.72792011,PCA
5,46630690.997888975,PCA
6,3742379.2366868383,PCA
7,854032.5778740519,PCA
8,463614.75248285773,PCA
9,446701.534973642,PCA
10,78105.14419476359,PCA
11,11244.418051081286,PCA
12,9064.935857530678,PCA
13,7314.452993124897,PCA
14,249.24674473173846,PCA
15,176.6726338998117,PCA
16,1.883022853939164e-21,PCA
1,744810429.9116089,RandProj
2,702492661.2499567,RandProj
3,838747407.1833254,RandProj
4,915359779.7880142,RandProj
5,889853452.4262881,RandProj
6,838521555.2431535,RandProj
7,1109070363.3813581,RandProj
8,1224244496.345242,RandProj
9,1106709858.0445142,RandProj
10,1202022707.5175211,RandProj
11,1154903460.492967,RandProj
12,1191511795.53259,RandProj
13,771127016.3355588,RandProj
14,467781078.89655274,RandProj
15,450197995.3082176,RandProj
16,3.9453777536138745e-20,RandProj
