n_components,reconstruction_error,method
1,1027.729477762926,ICA
2,973.4711103945068,ICA
3,899.5992536806757,ICA
4,722.9682308021521,ICA
5,657.3208543605967,ICA
6,588.038302712483,ICA
7,538.3073137481816,ICA
8,508.6686933013027,ICA
9,393.47471722316334,ICA
10,0.5364107312511288,ICA
11,4.733244811697693e-27,ICA
1,1027.729477762926,PCA
2,973.4711103945082,PCA
3,899.5992536806757,PCA
4,722.9682308021519,PCA
5,657.3208543605955,PCA
6,588.0383027124836,PCA
7,538.3073137481829,PCA
8,508.66869330130305,PCA
9,393.4747172231626,PCA
10,0.5364107312511247,PCA
11,5.044250718765027e-27,PCA
1,2224.8321630388746,RandProj
2,2133.613074888556,RandProj
3,2349.399214634577,RandProj
4,2421.7623051565956,RandProj
5,2431.7607755769313,RandProj
6,2050.8263238110458,RandProj
7,1723.6529164228195,RandProj
8,1411.7579558642149,RandProj
9,1582.478748031742,RandProj
10,24.79578649674582,RandProj
11,5.837533610347169e-26,RandProj
